title,sentiment_score,total score
"A Girl Called Fearless (A Girl Called Fearless, #1)",0.542025,4
"Chasing Nikki (Chasing Nikki, #1)",0.8787333333333334,3
"Eve (Eve, #1)",0.969,1
"Forever (The Wolves of Mercy Falls, #3)",0.5621714285714285,7
Hellhole,0.6998,1
Huntress,0.7590874999999999,8
"I Heart You, You Haunt Me",0.8947200000000001,5
"Mortal Engines (The Hungry City Chronicles, #1)",0.5563,2
"Nevermore (Maximum Ride, #8)",0.7289444444444445,9
Prom and Prejudice,0.7786000000000001,4
See You at Harry's,0.5969272727272728,11
"So Close to You (So Close to You, #1)",-0.06706666666666668,3
"Swipe (Swipe, #1)",0.6742,2
"The Darkest Minds (The Darkest Minds, #1)",0.46240983606557373,61
"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",0.3349133333333334,30
The Thing About the Truth,0.606225,4
This Lullaby,0.575695,20
"Throne of Glass (Throne of Glass, #1)",0.8852714285714286,7
Unhooked,0.13498,10
rock,0.7692874999999999,8
